AcresBurned,Location ID,Location,MeasurementID,CountyIds,Latitude,Longitude,Month,Year
170,CA-103,Tehama,2015-CA-103,52,39.8448,-122.3638,7,2015
167,CA-029,Kern,2015-CA-029,15,0,0,8,2015
167,CA-073,San Diego,2015-CA-073,37,33.383889,-116.868611,7,2015
164,CA-111,Ventura,2015-CA-111,56,0,0,6,2015
158,CA-023,Humboldt,2015-CA-023,12,41.295667,-123.784067,7,2015
158,CA-115,Yuba,2015-CA-115,58,39.2688,-121.26471,6,2015
150,CA-095,Solano,2015-CA-095,48,38.4113,-122.0789,7,2015
150,CA-065,Riverside,2015-CA-065,33,0,0,7,2015
146,CA-023,Humboldt,2015-CA-023,12,40.1058823,-124.0720419,8,2015
137,CA-063,Plumas,2015-CA-063,32,40.05083333,-120.7016667,4,2015
135,CA-039,Madera,2015-CA-039,20,37.072561,-119.6958,6,2015
128,CA-105,Trinity,2015-CA-105,53,40.724898,-122.96174,8,2015
122,CA-077,San Joaquin,2015-CA-077,39,0,0,6,2015
116,CA-049,Modoc,2015-CA-049,25,41.29226,-121.172117,7,2015
114,CA-009,Calaveras,2015-CA-009,5,38.052,-120.5577,8,2015
112,CA-109,Tuolumne,2015-CA-109,55,37.83618,-120.61691,8,2015
111,CA-035,Lassen,2015-CA-035,18,0,0,6,2015
110,CA-067,Sacramento,2015-CA-067,34,0,0,9,2015
110,CA-103,Tehama,2015-CA-103,52,40.3506868,-121.7786799,8,2015
110,CA-061,Placer,2015-CA-061,31,0,0,6,2015
109,CA-089,Shasta,2015-CA-089,45,40.47512,-122.52541,9,2015
108,CA-109,Tuolumne,2015-CA-109,55,38.04684,-120.30188,9,2015
104,CA-007,Butte,2015-CA-007,4,39.8707,-121.8938,10,2015
100,CA-071,San Bernardino,2015-CA-071,36,34.165974,-117.243878,6,2015
95,CA-053,Monterey,2015-CA-053,27,36.5696373,-121.7556029,9,2015
95,CA-079,San Luis Obispo,2015-CA-079,40,35.7183,-121.0157,7,2015
90,CA-089,Shasta,2015-CA-089,45,40.49865,-122.20109,7,2015
86,CA-107,Tulare,2015-CA-107,54,36.49845,-118.9009,7,2015
80,CA-073,San Diego,2015-CA-073,37,32.6449163,-116.9454387,6,2015
80,CA-065,Riverside,2015-CA-065,33,0,0,6,2015
77,CA-049,Modoc,2015-CA-049,25,40.856422,-121.101623,7,2015
75,CA-089,Shasta,2015-CA-089,45,40.67868,-121.93244,8,2015
75,CA-089,Shasta,2015-CA-089,45,40.509552,-122.199227,7,2015
75,CA-017,El Dorado,2015-CA-017,9,38.776,-120.404,7,2015
75,CA-007,Butte,2015-CA-007,4,0,0,7,2015
72,CA-007,Butte,2015-CA-007,4,26.42,-121,9,2015
69,CA-093,Siskiyou,2015-CA-093,47,0,0,8,2015
67,CA-029,Kern,2015-CA-029,15,35.77937,-120.19482,6,2015
65,CA-071,San Bernardino,2015-CA-071,36,0,0,8,2015
60,CA-019,Fresno,2015-CA-019,10,0,0,7,2015
60,CA-035,Lassen,2015-CA-035,18,40.875667,-121.033667,6,2015
60,CA-065,Riverside,2015-CA-065,33,0,0,6,2015
60,CA-043,Mariposa,2015-CA-043,22,0,0,6,2015
60,CA-005,Amador,2015-CA-005,3,38.260777,-121.135426,6,2015
59,CA-089,Shasta,2015-CA-089,45,40.3929,-122.40546,8,2015
58,CA-093,Siskiyou,2015-CA-093,47,0,0,10,2015
55,CA-071,San Bernardino,2015-CA-071,36,34.23,-116.883,8,2015
55,CA-073,San Diego,2015-CA-073,37,33.4115972,-117.2886249,8,2015
55,CA-103,Tehama,2015-CA-103,52,40.0133,-122.552,6,2015
54,CA-071,San Bernardino,2015-CA-071,36,34.0783472,-117.0487863,7,2015
53,CA-001,Alameda,2015-CA-001,1,0,0,6,2015
52,CA-083,Santa Barbara,2015-CA-083,42,34.9522,-120.2903,8,2015
50,CA-111,Ventura,2015-CA-111,56,34.15,-118.879444,11,2015
50,CA-045,Mendocino,2015-CA-045,23,39.43301,-123.36316,7,2015
45,CA-029,Kern,2015-CA-029,15,0,0,9,2015
45,CA-001,Alameda,2015-CA-001,1,0,0,7,2015
45,CA-019,Fresno,2015-CA-019,10,0,0,6,2015
43,CA-049,Modoc,2015-CA-049,25,0,0,7,2015
42,CA-085,Santa Clara,2015-CA-085,43,0,0,6,2015
40,CA-035,Lassen,2015-CA-035,18,40.400196,-120.553075,9,2015
40,CA-099,Stanislaus,2015-CA-099,50,37.24523,-121.20324,7,2015
40,CA-095,Solano,2015-CA-095,48,38.1029,-122.1578,7,2015
38,CA-055,Napa,2015-CA-055,28,38.5287,-122.3415,6,2015
36,CA-055,Napa,2015-CA-055,28,0,0,6,2015
35,CA-105,Trinity,2015-CA-105,53,40,41.46,9,2015
35,CA-017,El Dorado,2015-CA-017,9,0,0,7,2015
35,CA-045,Mendocino,2015-CA-045,23,39.7806004,-123.248214,6,2015
30,CA-057,Nevada,2015-CA-057,29,39.081,-121.194,9,2015
30,CA-035,Lassen,2015-CA-035,18,41.12362,-121.194256,8,2015
30,CA-115,Yuba,2015-CA-115,58,39.33303,-121.18735,8,2015
29,CA-111,Ventura,2015-CA-111,56,0,0,11,2015
26,CA-061,Placer,2015-CA-061,31,38.9361,-121.1548,7,2015
25,CA-073,San Diego,2015-CA-073,37,32.682547,-116.51684,7,2015
25,CA-069,San Benito,2015-CA-069,35,36.8727,-121.5681,7,2015
25,CA-073,San Diego,2015-CA-073,37,33.21407,-116.73472,7,2015
25,CA-017,El Dorado,2015-CA-017,9,0,0,7,2015
25,CA-043,Mariposa,2015-CA-043,22,0,0,6,2015
25,CA-033,Lake,2015-CA-033,17,0,0,6,2015
25,CA-065,Riverside,2015-CA-065,33,0,0,6,2015
24,CA-093,Siskiyou,2015-CA-093,47,41.999341,-121.891226,7,2015
23,CA-045,Mendocino,2015-CA-045,23,39.0263,-123.303,7,2015
22,CA-033,Lake,2015-CA-033,17,38.831478,-122.53428,8,2015
21,CA-083,Santa Barbara,2015-CA-083,42,34.4828,-119.63216,10,2015
21,CA-065,Riverside,2015-CA-065,33,33.986204,-117.43942,7,2015
20,CA-023,Humboldt,2015-CA-023,12,41.1513,-123.8292,6,2015
19,CA-055,Napa,2015-CA-055,28,38.519132,-122.181878,6,2015
18,CA-089,Shasta,2015-CA-089,45,40.5953,-122.4397,7,2015
16,CA-023,Humboldt,2015-CA-023,12,40.1093,-123.774,7,2015
0,CA-105,Trinity,2015-CA-105,53,0,0,7,2015
0,CA-003,Alpine,2015-CA-003,2,38.598056,-119.751944,6,2015
132127,CA-053,Monterey,2016-CA-053,27,36.45994,-121.89938,7,2016
48019,CA-029,Kern,2016-CA-029,15,35.6115,-118.45628,6,2016
46344,CA-079,San Luis Obispo,2016-CA-079,40,35.70595,-120.98316,8,2016
36274,CA-071,San Bernardino,2016-CA-071,36,34.30372,-117.49342,8,2016
33867,CA-093,Siskiyou,2016-CA-093,47,41.851,-123.118,8,2016
32606,CA-083,Santa Barbara,2016-CA-083,42,0,0,8,2016
29322,CA-029,Kern,2016-CA-029,15,35.7506,-118.5678,8,2016
12518,CA-083,Santa Barbara,2016-CA-083,42,34.63445,-120.54421,9,2016
8110,CA-071,San Bernardino,2016-CA-071,36,34.28771,-117.27338,8,2016
7609,CA-073,San Diego,2016-CA-073,37,32.60729,-116.63028,6,2016
7474,CA-083,Santa Barbara,2016-CA-083,42,34.776,-119.643,6,2016
7050,CA-019,Fresno,2016-CA-019,10,36.09974,-120.51057,8,2016
5731,CA-113,Yolo,2016-CA-113,57,38.52513,-122.06788,8,2016
5646,CA-017,El Dorado,2016-CA-017,"9,31",38.96741,-120.9375,6,2016
5646,CA-061,Placer,2016-CA-061,"9,31",38.96741,-120.9375,6,2016
5443,CA-027,Inyo,2016-CA-027,14,37.75985,-118.95309,9,2016
5399,CA-037,Los Angeles,2016-CA-037,19,0,0,6,2016
4824,CA-037,Los Angeles,2016-CA-037,19,34.31,-118.335,11,2016
4474,CA-085,Santa Clara,2016-CA-085,43,37.10632,-121.85318,9,2016
4347,CA-107,Tulare,2016-CA-107,54,35.984,-118.551,10,2016
3929,CA-033,Lake,2016-CA-033,17,38.89741,-122.60664,8,2016
3876,CA-053,Monterey,2016-CA-053,27,36.38123,-121.20059,5,2016
3712,CA-079,San Luis Obispo,2016-CA-079,40,0,0,5,2016
2944,CA-019,Fresno,2016-CA-019,10,36.0749,-120.452041,7,2016
2860,CA-093,Siskiyou,2016-CA-093,47,41.623,-123.557,6,2016
2819,CA-051,Mono,2016-CA-051,26,0,0,8,2016
2652,CA-049,Modoc,2016-CA-049,25,41.2649,-120.3178,9,2016
2575,CA-035,Lassen,2016-CA-035,18,40.3915,-120.7845,9,2016
2520,CA-053,Monterey,2016-CA-053,27,36.01542,-121.25029,6,2016
2304,CA-111,Ventura,2016-CA-111,56,34.701,-119.144,6,2016
2241,CA-019,Fresno,2016-CA-019,10,37.01591,-119.50507,7,2016
2100,CA-019,Fresno,2016-CA-019,10,36.94536,-119.25959,10,2016
1785,CA-029,Kern,2016-CA-029,15,35.20993,-118.72272,7,2016
1547,CA-097,Sonoma,2016-CA-097,49,38.80017,-122.82895,9,2016
1470,CA-065,Riverside,2016-CA-065,33,0,0,8,2016
1246,CA-047,Merced,2016-CA-047,24,37.07147,-121.20155,6,2016
1245,CA-073,San Diego,2016-CA-073,37,33.393,-117.35093,7,2016
1109,CA-037,Los Angeles,2016-CA-037,19,34.36763,-118.57245,7,2016
1080,CA-109,Tuolumne,2016-CA-109,55,37.79635,-120.32484,9,2016
850,CA-007,Butte,2016-CA-007,4,39.6871,-121.571,9,2016
710,CA-093,Siskiyou,2016-CA-093,47,41.7813,-122.611,8,2016
650,CA-051,Mono,2016-CA-051,26,37.97,-119.14,6,2016
599,CA-023,Humboldt,2016-CA-023,12,41.28486,-123.82268,8,2016
554,CA-029,Kern,2016-CA-029,15,34.913,118.9082,7,2016
550,CA-007,Butte,2016-CA-007,4,39.6708,-121.7192,8,2016
518,CA-029,Kern,2016-CA-029,15,35.2013,-118.7212,8,2016
464,CA-103,Tehama,2016-CA-103,52,40.0353,-122.56939,6,2016
450,CA-009,Calaveras,2016-CA-009,5,38.1874,-120.6381,8,2016
441,CA-089,Shasta,2016-CA-089,45,40.36873,-122.72913,7,2016
400,CA-115,Yuba,2016-CA-115,58,36.16965,-121.38775,8,2016
395,CA-107,Tulare,2016-CA-107,54,36.1648,-118.73906,8,2016
380,CA-049,Modoc,2016-CA-049,25,41.4657,-120.9066,9,2016
372,CA-005,Amador,2016-CA-005,3,38.385,-121.003611,6,2016
360,CA-103,Tehama,2016-CA-103,52,40.30594,-122.1295,9,2016
341,CA-009,Calaveras,2016-CA-009,5,38.08056,-120.81394,7,2016
310,CA-009,Calaveras,2016-CA-009,5,38.02845,-120.61153,7,2016
306,CA-029,Kern,2016-CA-029,15,0,0,9,2016
304,CA-029,Kern,2016-CA-029,15,35.4976,-118.5097,8,2016
300,CA-101,Sutter,2016-CA-101,51,39.188321,-121.78003,9,2016
278,CA-019,Fresno,2016-CA-019,10,36.88286,-119.654,5,2016
277,CA-113,Yolo,2016-CA-113,57,38.69971,-122.15457,6,2016
248,CA-063,Plumas,2016-CA-063,32,39.92,-121.32,9,2016
237,CA-069,San Benito,2016-CA-069,35,0,0,6,2016
221,CA-029,Kern,2016-CA-029,15,35.68313,-118.21793,7,2016
215,CA-083,Santa Barbara,2016-CA-083,42,34.75134,-120.55297,9,2016
215,CA-033,Lake,2016-CA-033,17,39.12366,-122.50373,6,2016
211,CA-001,Alameda,2016-CA-001,1,37.74369,-121.58677,6,2016
210,CA-005,Amador,2016-CA-005,3,38.26874,-120.90265,6,2016
188,CA-019,Fresno,2016-CA-019,10,36.92244,-119.39619,7,2016
176,CA-017,El Dorado,2016-CA-017,9,38.93449,-120.10744,10,2016
173,CA-065,Riverside,2016-CA-065,33,0,0,7,2016
169,CA-061,Placer,2016-CA-061,31,38.8390117,-121.3090268,5,2016
158,CA-019,Fresno,2016-CA-019,10,36.84479,-119.34487,9,2016
156,CA-037,Los Angeles,2016-CA-037,19,34.276,-118.354,5,2016
151,CA-019,Fresno,2016-CA-019,10,0,0,4,2016
150,CA-015,Del Norte,2016-CA-015,8,37.75972,-120.029626,9,2016
150,CA-059,Orange,2016-CA-059,30,33.6542,-117.5221,8,2016
150,CA-079,San Luis Obispo,2016-CA-079,40,35.61961,-120.39993,5,2016
147,CA-077,San Joaquin,2016-CA-077,39,37.62215,-121.36665,8,2016
145,CA-019,Fresno,2016-CA-019,10,36.14161,-120.62048,7,2016
140,CA-099,Stanislaus,2016-CA-099,50,0,0,8,2016
139,CA-065,Riverside,2016-CA-065,33,33.476894,-117.140883,6,2016
138,CA-029,Kern,2016-CA-029,15,35.60748,-118.94811,7,2016
132,CA-019,Fresno,2016-CA-019,10,36.78769,-119.38248,5,2016
130,CA-007,Butte,2016-CA-007,4,39.4403,-121.42647,9,2016
123,CA-019,Fresno,2016-CA-019,10,37.0099,-119.5792,7,2016
122,CA-051,Mono,2016-CA-051,26,0,0,8,2016
120,CA-099,Stanislaus,2016-CA-099,50,37.17072,-121.42238,6,2016
114,CA-085,Santa Clara,2016-CA-085,43,37.41896,-121.79669,7,2016
112,CA-007,Butte,2016-CA-007,4,39.595,-121.6008,6,2016
103,CA-039,Madera,2016-CA-039,20,37.25601,-119.65776,7,2016
100,CA-089,Shasta,2016-CA-089,45,40,-121.93923,9,2016
100,CA-085,Santa Clara,2016-CA-085,43,0,0,8,2016
100,CA-029,Kern,2016-CA-029,15,35.24504,-118.60344,8,2016
100,CA-099,Stanislaus,2016-CA-099,50,0,0,8,2016
100,CA-053,Monterey,2016-CA-053,27,35.85093,-120.81081,7,2016
100,CA-073,San Diego,2016-CA-073,37,32.9612,-116.7945,7,2016
95,CA-069,San Benito,2016-CA-069,35,5487,-120.841536,7,2016
91,CA-007,Butte,2016-CA-007,4,39.33035,-121.78973,5,2016
88,CA-007,Butte,2016-CA-007,4,39.79547,-121.71662,8,2016
88,CA-103,Tehama,2016-CA-103,52,40.07846,-122.2071,7,2016
88,CA-061,Placer,2016-CA-061,31,38.86804,-121.37704,6,2016
87,CA-067,Sacramento,2016-CA-067,34,38.517772,-121.103642,7,2016
86,CA-079,San Luis Obispo,2016-CA-079,40,35.70821,-120.82266,6,2016
85,CA-039,Madera,2016-CA-039,20,37.3228,-119.7738,8,2016
85,CA-109,Tuolumne,2016-CA-109,55,37.927613,-120.528836,5,2016
84,CA-113,Yolo,2016-CA-113,57,38.8866,-122.04726,7,2016
83,CA-009,Calaveras,2016-CA-009,5,0,0,6,2016
83,CA-069,San Benito,2016-CA-069,35,36.49914,-121.04993,6,2016
80,CA-103,Tehama,2016-CA-103,52,40.19611,-122.26736,8,2016
80,CA-039,Madera,2016-CA-039,20,0,0,7,2016
80,CA-103,Tehama,2016-CA-103,52,39.7947,-121.857,6,2016
78,CA-111,Ventura,2016-CA-111,56,36.92244,-119.39619,7,2016
75,CA-089,Shasta,2016-CA-089,45,40.68192,-122.4096,9,2016
70,CA-019,Fresno,2016-CA-019,10,36.6543,-119.5327,9,2016
70,CA-053,Monterey,2016-CA-053,27,36.2833,-121.3306,6,2016
70,CA-073,San Diego,2016-CA-073,37,33.41639,-117.08829,5,2016
69,CA-033,Lake,2016-CA-033,17,39.0863,-122.7891,7,2016
65,CA-055,Napa,2016-CA-055,28,38.40958,-122.43172,10,2016
61,CA-029,Kern,2016-CA-029,15,35.77135,-120.251,6,2016
57,CA-095,Solano,2016-CA-095,48,38.33475,-122.02564,7,2016
57,CA-009,Calaveras,2016-CA-009,5,37.98171,-120.64241,7,2016
56,CA-093,Siskiyou,2016-CA-093,47,0,0,5,2016
52,CA-053,Monterey,2016-CA-053,27,36.1934,-120.9293,6,2016
50,CA-045,Mendocino,2016-CA-045,23,39.7299,-123.5044,9,2016
50,CA-071,San Bernardino,2016-CA-071,36,34.3183,-117.3189,9,2016
50,CA-017,El Dorado,2016-CA-017,9,38.79549,-121.00299,7,2016
50,CA-111,Ventura,2016-CA-111,56,0,0,4,2016
49,CA-007,Butte,2016-CA-007,4,39.43351,-121.6051,6,2016
47,CA-057,Nevada,2016-CA-057,29,39.20427,-121.05948,9,2016
47,CA-059,Orange,2016-CA-059,30,33.57872,-117.77395,6,2016
45,CA-005,Amador,2016-CA-005,3,38.5212,-120.8416,9,2016
45,CA-033,Lake,2016-CA-033,17,36.09974,-120.51057,8,2016
45,CA-111,Ventura,2016-CA-111,56,34.27619,-118.63264,7,2016
43,CA-103,Tehama,2016-CA-103,52,39.93965,-122.40142,6,2016
43,CA-029,Kern,2016-CA-029,15,0,0,5,2016
42,CA-035,Lassen,2016-CA-035,18,0,0,7,2016
40,CA-067,Sacramento,2016-CA-067,34,38.558,-121.1309,9,2016
40,CA-065,Riverside,2016-CA-065,33,0,0,8,2016
40,CA-013,Contra Costa,2016-CA-013,7,38.01264,-122.1885,7,2016
38,CA-057,Nevada,2016-CA-057,29,39.39051,-120.51887,9,2016
38,CA-039,Madera,2016-CA-039,20,37.24006,-119.4741,7,2016
36,CA-045,Mendocino,2016-CA-045,23,39.8748511,-123.4267011,8,2016
36,CA-033,Lake,2016-CA-033,17,38.68403,-122.26015,8,2016
35,CA-073,San Diego,2016-CA-073,37,33.22558,-117.14547,8,2016
35,CA-089,Shasta,2016-CA-089,45,40.61213,-122.47091,8,2016
35,CA-007,Butte,2016-CA-007,4,0,0,7,2016
35,CA-009,Calaveras,2016-CA-009,5,37.96311,-120.67335,7,2016
33,CA-009,Calaveras,2016-CA-009,5,38.22017,-120.8678,6,2016
32,CA-093,Siskiyou,2016-CA-093,47,41.6314,-122.7933,9,2016
32,CA-109,Tuolumne,2016-CA-109,55,37.81434,-120.69521,7,2016
32,CA-067,Sacramento,2016-CA-067,34,38.3131,-121.06452,6,2016
30,CA-007,Butte,2016-CA-007,4,39.8851,-121.6998,9,2016
30,CA-027,Inyo,2016-CA-027,14,36.58972,-118.15589,7,2016
30,CA-069,San Benito,2016-CA-069,35,36.80296,-121.40304,6,2016
30,CA-007,Butte,2016-CA-007,4,39.624017,-121.595093,5,2016
30,CA-047,Merced,2016-CA-047,24,37.2171,-121.08036,4,2016
28,CA-073,San Diego,2016-CA-073,37,33.254355,-117.158475,11,2016
28,CA-073,San Diego,2016-CA-073,37,33.00056,-116.9571,7,2016
26,CA-005,Amador,2016-CA-005,3,38.2581,-120.8657,8,2016
26,CA-093,Siskiyou,2016-CA-093,47,41.96191,-122.59328,7,2016
25,CA-085,Santa Clara,2016-CA-085,43,37.11831,-121.69784,9,2016
25,CA-085,Santa Clara,2016-CA-085,43,37.06531,-121.68577,8,2016
25,CA-017,El Dorado,2016-CA-017,9,0,0,8,2016
25,CA-033,Lake,2016-CA-033,17,0,0,7,2016
25,CA-017,El Dorado,2016-CA-017,9,38.64107,-120.6955,6,2016
25,CA-053,Monterey,2016-CA-053,27,35.8378273,-121.0381507,5,2016
24,CA-089,Shasta,2016-CA-089,45,40.61388,-122.46777,6,2016
23,CA-023,Humboldt,2016-CA-023,12,40.4572,-124.05804,8,2016
23,CA-093,Siskiyou,2016-CA-093,47,41.71847,-122.36924,7,2016
21,CA-023,Humboldt,2016-CA-023,12,40.9878,-123.77832,8,2016
20,CA-071,San Bernardino,2016-CA-071,36,34.25858,-117.4415,9,2016
20,CA-033,Lake,2016-CA-033,17,39.1408865,-122.9148951,8,2016
20,CA-111,Ventura,2016-CA-111,56,0,0,5,2016
19,CA-005,Amador,2016-CA-005,3,0,0,8,2016
15,CA-111,Ventura,2016-CA-111,56,33.11645,-116.58542,7,2016
11,CA-103,Tehama,2016-CA-103,52,0,0,7,2016
11,CA-089,Shasta,2016-CA-089,45,0,0,5,2016
10,CA-107,Tulare,2016-CA-107,54,36.217,-118.551,10,2016
0,CA-003,Alpine,2016-CA-003,2,38.57554,-120.00606,8,2016
0,CA-037,Los Angeles,2016-CA-037,19,0,0,7,2016
0,CA-079,San Luis Obispo,2016-CA-079,40,35.01382,-119.58206,6,2016
0,CA-037,Los Angeles,2016-CA-037,19,0,0,6,2016
0,CA-107,Tulare,2016-CA-107,54,35.84883,-118.08591,6,2016
0,CA-037,Los Angeles,2016-CA-037,19,34.6888731,-118.7892593,4,2016
281893,CA-083,Santa Barbara,2017-CA-083,"42,56",34.41521,-119.09124,12,2017
281893,CA-111,Ventura,2017-CA-111,"42,56",34.41521,-119.09124,12,2017
83733,CA-035,Lassen,2017-CA-035,18,40.07045,-120.14013,7,2017
83120,CA-049,Modoc,2017-CA-049,25,0,0,7,2017
81826,CA-043,Mariposa,2017-CA-043,22,37.61757,-120.21321,7,2017
78698,CA-093,Siskiyou,2017-CA-093,47,41.841,-123.474,8,2017
56556,CA-055,Napa,2017-CA-055,"28,49",38.4041,-122.5209,10,2017
56556,CA-097,Sonoma,2017-CA-097,"28,49",38.4041,-122.5209,10,2017
51624,CA-055,Napa,2017-CA-055,"28,48",38.39206,-122.24367,10,2017
51624,CA-095,Solano,2017-CA-095,"28,48",38.39206,-122.24367,10,2017
48889,CA-031,Kings,2017-CA-031,16,35.93273,-120.20014,7,2017
39715,CA-093,Siskiyou,2017-CA-093,47,42.039,-123.218,8,2017
36807,CA-055,Napa,2017-CA-055,"28,49",38.60895,-122.62879,10,2017
36807,CA-097,Sonoma,2017-CA-097,"28,49",38.60895,-122.62879,10,2017
36556,CA-107,Tulare,2017-CA-107,54,36.15356,-118.74103,8,2017
36523,CA-045,Mendocino,2017-CA-045,23,39.24873,-123.16635,10,2017
28687,CA-079,San Luis Obispo,2017-CA-079,40,35.0179,-120.3223,7,2017
27276,CA-093,Siskiyou,2017-CA-093,47,41.59,-123.501,7,2017
21846,CA-105,Trinity,2017-CA-105,53,40.76025,-123.10003,8,2017
18900,CA-107,Tulare,2017-CA-107,54,36.27138,-118.48555,9,2017
18618,CA-035,Lassen,2017-CA-035,18,40.69573,-119.93499,8,2017
18430,CA-083,Santa Barbara,2017-CA-083,42,34.55096,-119.9494,7,2017
17357,CA-097,Sonoma,2017-CA-097,49,38.76549,-122.90939,10,2017
16031,CA-107,Tulare,2017-CA-107,54,0,0,6,2017
15619,CA-037,Los Angeles,2017-CA-037,19,34.31283,-118.35863,12,2017
13417,CA-105,Trinity,2017-CA-105,53,40.2275,-123.03583,9,2017
12407,CA-039,Madera,2017-CA-039,20,37.44663,-119.64622,8,2017
10343,CA-019,Fresno,2017-CA-019,10,36.12089,-120.37116,5,2017
9989,CA-115,Yuba,2017-CA-115,58,39.32198,-121.4021,10,2017
9217,CA-059,Orange,2017-CA-059,30,33.87041,-117.70975,10,2017
8925,CA-051,Mono,2017-CA-051,26,38.655,-119.55425,8,2017
8417,CA-007,Butte,2017-CA-007,4,39.62496,-121.52966,10,2017
8094,CA-043,Mariposa,2017-CA-043,22,37.644,-119.618,8,2017
7697,CA-049,Modoc,2017-CA-049,25,41.466,-120.321,8,2017
7194,CA-037,Los Angeles,2017-CA-037,19,34.22957,-118.2674,9,2017
7000,CA-043,Mariposa,2017-CA-043,22,37.538,-119.598,8,2017
6309,CA-065,Riverside,2017-CA-065,33,33.530045,-116.594422,6,2017
6151,CA-007,Butte,2017-CA-007,4,39.39455,-121.40613,10,2017
6049,CA-037,Los Angeles,2017-CA-037,19,34.45283,-118.58188,12,2017
6042,CA-035,Lassen,2017-CA-035,18,40.43962,-120.22215,8,2017
6033,CA-007,Butte,2017-CA-007,4,39.45352,-121.41222,7,2017
5738,CA-019,Fresno,2017-CA-019,10,36.07228,-120.26561,4,2017
5247,CA-099,Stanislaus,2017-CA-099,50,38.329,-119.782,7,2017
4736,CA-105,Trinity,2017-CA-105,53,40.17598,-123.36882,8,2017
4310,CA-063,Plumas,2017-CA-063,32,39.9034,-120.9761,7,2017
4100,CA-073,San Diego,2017-CA-073,37,33.3237,-117.163,12,2017
4016,CA-007,Butte,2017-CA-007,4,39.57701,-121.30209,8,2017
3874,CA-065,Riverside,2017-CA-065,33,33.97471,-117.09984,9,2017
3142,CA-093,Siskiyou,2017-CA-093,47,41.853,-123.676,8,2017
2940,CA-029,Kern,2017-CA-029,15,35.77896,-118.89627,7,2017
2662,CA-059,Orange,2017-CA-059,30,33.8668,-117.68598,9,2017
2575,CA-063,Plumas,2017-CA-063,32,39.75312,-120.75485,9,2017
2312,CA-031,Kings,2017-CA-031,16,36.05187,-120.05404,8,2017
2295,CA-107,Tulare,2017-CA-107,54,36.257,-118.296,8,2017
2289,CA-107,Tulare,2017-CA-107,54,36.0226,-118.94252,7,2017
2269,CA-113,Yolo,2017-CA-113,57,38.49521,-122.0251,7,2017
2207,CA-033,Lake,2017-CA-033,17,39.01387,-122.64543,10,2017
2056,CA-073,San Diego,2017-CA-073,37,32.65597,-116.80527,5,2017
1868,CA-097,Sonoma,2017-CA-097,49,0,0,10,2017
1816,CA-053,Monterey,2017-CA-053,"27,40",35.86949,-120.57894,7,2017
1816,CA-079,San Luis Obispo,2017-CA-079,"27,40",35.86949,-120.57894,7,2017
1800,CA-047,Merced,2017-CA-047,24,36.96655,-120.89261,5,2017
1749,CA-099,Stanislaus,2017-CA-099,50,38.12,-119.941,9,2017
